Tipo de dato	Agregados macroeconómicos: Nivel 1	Agregados macroeconómicos: Nivel 2	Niveles y tasas	Periodo	Total
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2025T3	11.928
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2025T2	11.317
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2025T1	11.145
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2024T4	10.768
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2024T3	11.105
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2024T2	10.984
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2024T1	11.035
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2023T4	10.357
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2023T3	9.694
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2023T2	9.632
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2023T1	9.352
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2022T4	8.954
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2022T3	8.159
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2022T2	7.813
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2022T1	7.677
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2021T4	8.782
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2021T3	8.891
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2021T2	8.285
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2021T1	8.243
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2020T4	7.836
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2020T3	7.733
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2020T2	8.396
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2020T1	7.480
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2019T4	7.964
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2019T3	8.143
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2019T2	7.673
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2019T1	7.811
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2018T4	8.187
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2018T3	7.830
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2018T2	8.348
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2018T1	8.382
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2017T4	8.436
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2017T3	8.257
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2017T2	7.988
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2017T1	8.120
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2016T4	7.831
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2016T3	8.012
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2016T2	7.888
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2016T1	7.883
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2015T4	7.813
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2015T3	7.530
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2015T2	7.206
Datos ajustados de estacionalidad y calendario	VABpb Agricultura, ganadería, silvicultura y pesca (A, CNAE 2009)		Dato base	2015T1	7.056
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2025T3	59.316
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2025T2	58.571
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2025T1	60.013
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2024T4	59.703
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2024T3	56.351
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2024T2	55.045
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2024T1	56.215
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2023T4	55.508
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2023T3	53.398
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2023T2	53.653
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2023T1	57.538
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2022T4	58.267
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2022T3	54.991
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2022T2	52.904
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2022T1	52.779
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2021T4	49.624
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2021T3	45.852
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2021T2	44.738
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2021T1	45.248
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2020T4	44.122
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2020T3	43.521
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2020T2	35.125
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2020T1	40.723
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2019T4	44.614
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2019T3	44.336
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2019T2	44.088
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2019T1	43.653
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2018T4	43.356
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2018T3	43.284
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2018T2	42.863
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2018T1	42.639
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2017T4	43.608
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2017T3	41.788
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2017T2	41.676
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2017T1	41.585
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2016T4	40.569
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2016T3	40.334
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2016T2	39.784
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2016T1	39.846
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2015T4	39.578
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2015T3	39.386
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2015T2	39.504
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)		Dato base	2015T1	39.194
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2025T3	45.006
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2025T2	44.503
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2025T1	44.289
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T4	43.334
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T3	42.835
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T2	43.316
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T1	43.411
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T4	40.804
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T3	41.078
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T2	40.405
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T1	41.733
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T4	39.571
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T3	38.373
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T2	37.333
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T1	36.453
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T4	35.553
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T3	35.257
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T2	33.843
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T1	34.413
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T4	33.593
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T3	32.758
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T2	25.204
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T1	31.001
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T4	34.161
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T3	33.575
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T2	33.267
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T1	33.103
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T4	32.779
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T3	32.662
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T2	32.768
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T1	32.579
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T4	33.569
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T3	32.412
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T2	32.150
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2017T1	31.912
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T4	31.099
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T3	30.841
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T2	30.526
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2016T1	30.530
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T4	30.294
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T3	30.016
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T2	29.830
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2015T1	29.592
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2025T3	22.558
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2025T2	22.255
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2025T1	21.247
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T4	20.769
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T3	20.713
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T2	21.062
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2024T1	20.299
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T4	19.862
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T3	19.909
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T2	19.964
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2023T1	19.084
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T4	18.798
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T3	18.756
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T2	18.211
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2022T1	17.300
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T4	16.703
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T3	16.446
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T2	16.487
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2021T1	15.908
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T4	16.504
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T3	16.635
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T2	13.993
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2020T1	16.568
Datos ajustados de estacionalidad y calendario	VABpb Construcción (F, CNAE 2009)		Dato base	2019T4	18.822
